V.Smirnoff;V.Belkoff;V.Intencion;C.Serra.Azul;C.Caninha;C.51;C.Ipioca;C.Popular;Analista;Dia
36.15;31.84;38.04;41.36;37.21;40.28;38.98;40.71;A;1
37.31;31.62;36.72;40.62;37.21;40.81;39.44;40.7;A;1
36.42;31.4;37.11;40.43;37.36;40.83;39.38;41.29;A;1
35.27;30.96;37.09;40.16;37.34;40.68;39.58;41.23;A;1
34.46;30.49;36.86;39.89;37.2;40.47;39.8;41.54;A;1
33.76;29.88;35.78;40;;;39.45;41.71;A;1
35.92;34.02;36.23;41.56;35.47;39.83;39.47;40.12;A;2
37.22;33.72;34.72;41.67;35.52;40.69;39.2;40.95;A;2
36.67;33.6;35.21;40.74;35.4;40.84;39.73;40.76;A;2
36.02;33.13;34.8;40.2;34.77;41.05;39.31;40.93;A;2
36.06;34.15;34.83;39.99;38.79;40.7;39.75;40.46;A;2
36.07;34.3;34.39;38.86;36.36;40.78;40.11;39.81;A;2
35.57;36.75;37.49;40.69;42.01;40.06;37.57;40.13;A;3
34.87;33.57;37.64;42.18;41.87;40.92;37.16;41.34;A;3
34.42;33.29;37.66;41.2;41.26;40.72;37.06;41.32;A;3
33.59;32.99;38.2;40.95;42.13;39.93;36.29;42.12;A;3
33.03;33.14;38.81;40.67;42.25;39.89;35.9;41.37;A;3
33.14;32.29;36.75;40.62;40.4;38.99;35.18;41.35;A;3
36.56;36.27;36.9;36.9;38.33;40.56;36.95;42.79;B;1
36.68;36.03;36.6;36.6;39.28;40.19;36.95;42.68;B;1
36.37;35.67;36.64;36.64;38.97;39.56;37.26;42.31;B;1
36.75;35.94;36.4;36.4;37.98;39;37.17;41.98;B;1
36.77;36.46;35.36;35.36;37.66;38.89;37.27;41.41;B;1
34.28;35.03;;;37.17;38.8;37.72;41.29;B;1
35.7;38.36;35.47;35.47;36.47;39.03;;40.1;B;2
36.57;37.16;35.23;35.23;38.62;40.13;37.54;43.4;B;2
36.19;37.65;34.76;34.76;38.67;40.1;37.98;42.64;B;2
35.84;37.73;36.08;36.08;38;40.53;38.79;42.42;B;2
35.89;36.96;35.51;35.51;37.98;40.11;38.01;42.49;B;2
35.76;36.64;35.37;35.37;38.06;40.13;37.69;41.82;B;2
37.28;36.82;35.06;35.06;37.66;38.98;37.05;40.63;B;3
37.02;36.29;35.87;35.87;37.52;40.04;36.66;41.9;B;3
37.34;35.92;35.05;35.05;38.93;40.02;38.23;41.89;B;3
37.27;35.96;36;36;38.77;39.97;38.11;42.01;B;3
36.57;36.11;35.4;35.4;38.2;40.11;37.82;41.77;B;3
34.27;36.32;35.7;35.7;38.07;39.7;37.26;41.46;B;3
37.62;36.27;37.28;37.28;40.22;41.92;36.56;42.51;C;1
36.81;36.03;38.06;38.06;40.89;42.13;38.39;43.84;C;1
36.62;35.67;37.74;37.74;40.96;41.53;38.31;43.7;C;1
36.47;35.94;38.24;38.24;40.8;41.88;37.88;43.71;C;1
37.6;36.46;38.38;38.38;40.37;42.1;38.59;44.29;C;1
35.04;35.03;37.98;37.98;40.16;42.36;39.18;44.36;C;1
37.19;33.24;36;36;40.41;42.43;38.67;40.76;C;2
36.19;32.77;35.32;35.32;40.8;42.81;40.99;42.94;C;2
35.21;31.8;35.64;35.64;41.02;42.27;40.11;43.03;C;2
36.16;32.37;36;36;40.99;42.65;40.13;42.8;C;2
35.78;33.47;36.24;36.24;40.58;43.01;39.83;42.48;C;2
34.55;32.75;35.65;35.65;40.5;43.48;39.39;42.11;C;2
35.05;34.12;36.15;36.15;40.15;40.41;39.21;41.24;C;3
34.76;33.2;35.38;35.38;41.16;39.88;37.79;43.03;C;3
34.76;33.41;35.71;35.71;40.68;39.91;38.52;43.07;C;3
34.51;33.37;35.9;35.9;40.58;39.64;38.73;42.64;C;3
35.14;32.63;36.14;36.14;39.72;39.74;38.02;42.32;C;3
34.43;32.6;35.7;35.7;39.24;37.57;37.27;41.99;C;3
